"beta" "gamma"
"567" 1.81969884550199 1.11104218289256
"568" 1.79963368456811 0.751506193773821
"569" 1.20316519634798 0.51408595405519
"570" 3.52646983461455 1.97662296006456
"571" 1.89027700573206 1.19443861301988
"572" 1.66886765509844 0.669146463042125
"573" 1.71177854761481 1.06633229996078
"574" 3.38354924693704 2.42345196544193
"575" 3.07072444818914 1.15549954702146
"576" 1.43907980062068 1.33655964280479
"577" 0.676474769134074 0.546870501711965
"578" 1.08150672633201 0.724093010649085
"579" 2.86460727453232 1.61941215978004
"580" 2.20054605044425 1.80219944566488
"581" 3.66006593685597 1.86055125435814
"582" 2.92326975381002 2.80297422083095
"583" 1.28583107376471 1.28513146308251
"584" 0.989057451952249 1.08355499221943
"585" 0.88436460820958 0.929336633998901
"586" 2.71873646182939 1.10865566879511
"587" 2.45552508160472 0.959610493155196
"588" 2.32874919427559 1.20379471918568
"589" 1.8648996623233 0.842133141122758
"590" 4.13077683188021 1.47392387851141
"591" 1.8272035731934 0.667960430728272
"592" 0.76805368764326 0.674599742051214
"593" 3.14494039863348 2.07100605242886
"594" 1.63708874490112 1.48716867552139
"595" 1.3322920165956 1.14039752050303
"596" 1.49568804074079 1.48660064442083
"597" 3.15847137244418 1.41127287060954
"598" 3.53638005210087 1.13331986125559
"599" 2.75795312598348 1.43600955838338
"600" 2.73765773046762 4.15704609360546
"601" 1.28662135452032 1.63870747899637
"602" 2.48807062394917 2.32381510082632
"603" 1.81410263990983 1.98481141473167
"604" 1.73549717990682 0.853789912071079
"605" 2.62063621543348 2.43078703642823
"606" 2.32574687805027 1.646969554713
"607" 2.93116031447425 2.37934354110621
"608" 1.65723799495026 0.615195372374728
"609" 2.75628112722188 1.40571495285258
"610" 2.5256370822899 0.988056294154376
"611" 1.9204032770358 0.89919948251918
"612" 2.10486331954598 1.64185346104205
"613" 1.78853764431551 1.810481302673
"614" 1.18567002005875 1.0400551406201
"615" 3.3717004628852 0.78396464814432
"616" 1.84787168400362 1.16352281649597
"617" 2.45567227480933 1.40724053257145
"618" 1.10646450892091 1.38036089716479
"619" 2.30909980135038 1.88734926632605
"620" 5.17738529946655 3.97147715091705
"621" 1.8327205744572 1.38529322925024
"622" 3.63586961990222 1.84663347201422
"623" 1.71199860982597 1.34103405987844
"624" 1.95713808294386 0.709613696672022
"625" 2.05947291571647 1.3792098837439
"626" 4.90040653385222 2.14564861613326
"627" 2.09458006545901 1.81673464714549
"628" 1.38397846836597 1.585885186214
"629" 1.71222225064412 1.58181546838023
"630" 2.61423704912886 1.98632329353131
"631" 0.877730031497777 0.721993123879656
"632" 1.86134463176131 1.51784453657456
"633" 1.63971015019342 1.93548179464415
"634" 1.52175551280379 1.97961119120009
"635" 1.3614772586152 0.518225426785648
"636" 2.53095498308539 2.21155138220638
"637" 1.22028002981097 0.783439483493567
"638" 2.49245559796691 1.76889073220082
"639" 1.20656850282103 0.949829004239291
"640" 2.10600011283532 0.958515509264544
"641" 0.894748305436224 0.611665332689881
"642" 2.31530942488462 1.89063087687828
"643" 0.951463656965643 1.15532591938972
"644" 2.60011673672125 1.61491492530331
"645" 1.48522710194811 0.905009376583621
"646" 1.85893194051459 1.1272374924738
"647" 2.41669728653505 2.27703420561738
"648" 1.86104098334908 1.27565510105342
"649" 3.38377398671582 1.83025436592288
"650" 1.48900660686195 0.845432137139142
"651" 1.76503184251487 1.31403466453776
"652" 0.745188458822668 1.26425573020242
"653" 1.6005328623578 1.02027943474241
"654" 2.71005169022828 1.74696955597028
"655" 2.04911863896996 1.03037893073633
"656" 0.961890053004026 1.0235536005348
"657" 2.69519977038726 3.66777103743516
"658" 3.05319658713415 1.43798781209625
"659" 2.26350545417517 0.813243696466088
"660" 2.08236540434882 1.09314788132906
"661" 1.65532763348892 0.747135049896315
"662" 2.67952549504116 2.45109583600424
"663" 1.54356489190832 1.41137509723194
"664" 3.56497790664434 1.81820502271876
"665" 4.74441340193152 1.64753779419698
"666" 2.42734984727576 1.71966125606559
"667" 1.75853482447565 0.960817938903347
"668" 3.13310128636658 2.35413471003994
"669" 2.89293647743762 1.98552409885451
"670" 1.27140729222447 1.24601666699164
"671" 1.23029087204486 0.638292749645188
"672" 4.46688819443807 2.64374979306012
"673" 1.32570235989988 1.0637543478515
"674" 2.69389137160033 1.61740786628798
"675" 1.50187835097313 1.62221174454316
"676" 1.30654235137627 0.858834853861481
"677" 4.42584486911073 1.94017648464069
"678" 3.30943575128913 1.70620089280419
"679" 2.97019669320434 2.20861510955729
"680" 1.70279398560524 0.996954526053742
"681" 2.10602996870875 1.45631137769669
"682" 3.14282437087968 1.97087479988113
"683" 1.43007219769061 0.864772052736953
"684" 2.86032787291333 1.54942843480967
"685" 2.11185687221587 1.42402391182259
"686" 2.3590154084377 0.527233130997047
"687" 1.79488942259923 1.87499845749699
"688" 2.44383750250563 0.951530847232789
"689" 1.57055539777502 0.495184109313414
"690" 1.43191043287516 1.04491499951109
"691" 1.24222604325041 2.11668769130483
"692" 1.38746084179729 1.88461167155765
"693" 1.78182838717476 1.51975814369507
"694" 3.44866869039834 1.98512321687303
"695" 2.08771591540426 1.22978263651021
"696" 3.71684926329181 1.42191835329868
"697" 2.23649882478639 1.04289647424594
"698" 3.52670506807044 2.84244896494783
